date,curr_close,real_close,real_return,real_direction,rw_direction,sma_direction,bh_direction,pred_close,pred_return,pred_direction,prob_up
2018-01-02,10530.7001953125,10442.2001953125,-0.008403999578242076,-1,1,1,1,10498.2412109375,-0.0030823196722900128,-1,0.2542211339312434
2018-01-03,10442.2001953125,10443.2001953125,9.576525840300397e-05,1,-1,1,1,10476.650390625,0.0032991318561355182,1,0.7431317353037351
2018-01-04,10443.2001953125,10504.7998046875,0.005898537634340228,1,1,1,1,10479.115234375,0.0034390836516397247,1,0.752280941334867
2018-01-05,10504.7998046875,10558.849609375,0.005145248428568972,1,1,1,1,10516.1865234375,0.001083953903140445,1,0.5914929891904908
2018-01-08,10558.849609375,10623.599609375,0.0061322968311348725,1,1,1,1,10518.9677734375,-0.003777100480916944,-1,0.1982062741018194
2018-01-09,10623.599609375,10637.0,0.0012613794869654694,1,1,1,1,10538.23046875,-0.00803580177755046,-1,0.04294379523065291
2018-01-10,10637.0,10632.2001953125,-0.00045123669150136316,-1,1,1,1,10574.2373046875,-0.005900413209786594,-1,0.08999662859519797
2018-01-11,10632.2001953125,10651.2001953125,0.0017870242895141003,1,-1,1,1,10577.0771484375,-0.005184538088297333,-1,0.0943355129009435
2018-01-12,10651.2001953125,10681.25,0.00282125996474319,1,1,1,1,10589.560546875,-0.00578710824200141,-1,0.06342246140265177
2018-01-15,10681.25,10741.5498046875,0.00564538838502048,1,1,1,1,10674.3447265625,-0.0006464855178466939,-1,0.42396916430295406
2018-01-16,10741.5498046875,10700.4501953125,-0.00382622713875651,-1,1,1,1,10772.38671875,0.0028708067851664285,1,0.8035282867400338
2018-01-17,10700.4501953125,10788.5498046875,0.008233261943837972,1,-1,1,1,10689.2998046875,-0.0010420487382750124,-1,0.3785474079010635
2018-01-18,10788.5498046875,10817.0,0.0026370731773550063,1,1,1,1,10753.9833984375,-0.003203990052025463,-1,0.183337779481945
2018-01-19,10817.0,10894.7001953125,0.007183155709762411,1,1,1,1,10903.91796875,0.008035311893316077,1,0.9784443560897298
2018-01-22,10894.7001953125,10966.2001953125,0.00656282400783853,1,1,1,1,10923.2001953125,0.0026159508282992744,1,0.7692754394118813
2018-01-23,10966.2001953125,11083.7001953125,0.010714741469905443,1,1,1,1,10941.244140625,-0.002275724885833058,-1,0.26277932222430195
2018-01-24,11083.7001953125,11086.0,0.00020749430668222417,1,1,1,1,11046.080078125,-0.0033941839389890964,-1,0.19598071329509728
2018-01-25,11086.0,11069.650390625,-0.0014747978869745625,-1,1,1,1,11054.619140625,-0.002830674668500812,-1,0.22535281316517886
2018-01-29,11069.650390625,11130.400390625,0.005487978197708014,1,-1,1,1,11075.33984375,0.0005139686371503165,1,0.5556595090264517
2018-01-30,11130.400390625,11049.650390625,-0.007254905229466384,-1,1,1,1,11124.078125,-0.0005680178073670348,-1,0.4387112731423076
2018-01-31,11049.650390625,11027.7001953125,-0.001986505865481816,-1,-1,1,1,11109.4482421875,0.005411741498467235,1,0.9188992106825732
2018-02-01,11027.7001953125,11016.900390625,-0.0009793342670025278,-1,-1,1,1,11075.1162109375,0.004299719323631498,1,0.8683606263037538
2018-02-02,11016.900390625,10760.599609375,-0.023264327729431326,-1,-1,1,1,10980.0673828125,-0.0033433185838589964,-1,0.18839256599556886
2018-02-05,10760.599609375,10666.5498046875,-0.008740201113473326,-1,-1,1,1,10831.6982421875,0.006607311431842186,1,0.8556196020896418
2018-02-06,10666.5498046875,10498.25,-0.015778279553294666,-1,-1,1,1,10651.296875,-0.0014299778247692594,-1,0.4074796879460038
2018-02-07,10498.25,10476.7001953125,-0.0020527044686019097,-1,-1,1,1,10570.607421875,0.006892331757673898,1,0.8358823057733513
2018-02-08,10476.7001953125,10576.849609375,0.009559251691416061,1,-1,1,1,10492.3701171875,0.0014956924969573013,1,0.5873512391427367
2018-02-09,10576.849609375,10454.9501953125,-0.011525115565078285,-1,1,1,1,10597.3896484375,0.0019419808185883564,1,0.6087706576450722
2018-02-12,10454.9501953125,10539.75,0.008110971654893218,1,-1,1,1,10393.9296875,-0.005836518268624434,-1,0.2172940983675415
2018-02-14,10539.75,10500.900390625,-0.003686008622121018,-1,1,1,1,10573.9990234375,0.003249510039374748,1,0.6691528164150943
2018-02-15,10500.900390625,10545.5,0.0042472176400052,1,-1,1,1,10579.416015625,0.007477037404344605,1,0.8349495349865499
2018-02-16,10545.5,10452.2998046875,-0.008837911461049737,-1,1,1,1,10573.09765625,0.0026170078469489357,1,0.6407203051550825
2018-02-19,10452.2998046875,10378.400390625,-0.007070158285103785,-1,-1,1,1,10480.888671875,0.00273517481527643,1,0.6449787563172247
2018-02-20,10378.400390625,10360.400390625,-0.0017343713214475452,-1,-1,1,1,10423.28515625,0.004324825014994145,1,0.7239637592391316
2018-02-21,10360.400390625,10397.4501953125,0.0035760977655869284,1,-1,1,1,10412.544921875,0.005033061395695185,1,0.760737769947846
2018-02-22,10397.4501953125,10382.7001953125,-0.001418617038112841,-1,1,1,1,10433.701171875,0.003486525627104527,1,0.7002076031371127
2018-02-23,10382.7001953125,10491.0498046875,0.010435590678416857,1,-1,1,1,10379.3603515625,-0.0003216739082486314,-1,0.4803712318357143
2018-02-26,10491.0498046875,10582.599609375,0.008726467454819887,1,1,1,1,10489.6572265625,-0.00013273963530111,-1,0.4924420496839385
2018-02-27,10582.599609375,10554.2998046875,-0.0026741826897078804,-1,1,1,1,10620.31640625,0.0035640389192828515,1,0.6886501917966603
2018-02-28,10554.2998046875,10492.849609375,-0.005822290104475525,-1,-1,-1,1,10585.45703125,0.0029520884510654214,1,0.6598679048167536
2018-03-01,10492.849609375,10458.349609375,-0.0032879533476945517,-1,-1,-1,1,10484.875,-0.0007600041620605103,-1,0.4576120688042787
2018-03-05,10458.349609375,10358.849609375,-0.009513929416818015,-1,-1,-1,1,10504.4658203125,0.004409511314879054,1,0.7284739556935519
2018-03-06,10358.849609375,10249.25,-0.010580287725753814,-1,-1,-1,1,10424.453125,0.006333088914200211,1,0.839933920423152
2018-03-07,10249.25,10154.2001953125,-0.009273830249774373,-1,-1,-1,1,10273.0009765625,0.0023173380064394956,1,0.6453418951135672
2018-03-08,10154.2001953125,10242.650390625,0.008710700361544123,1,-1,-1,1,10175.8466796875,0.0021317764037184044,1,0.6433139392817052
2018-03-09,10242.650390625,10226.849609375,-0.001542645765246689,-1,1,-1,1,10238.9814453125,-0.00035820272806129854,-1,0.47649390835976524
2018-03-12,10226.849609375,10421.400390625,0.019023530088059026,1,-1,-1,1,10217.7646484375,-0.0008883440438169517,-1,0.4382606800246159
2018-03-13,10421.400390625,10426.849609375,0.0005228873803660849,1,1,-1,1,10401.255859375,-0.0019329965738694621,-1,0.3841991725427786
2018-03-14,10426.849609375,10410.900390625,-0.0015296296913748255,-1,1,-1,1,10432.91015625,0.0005812442973715507,1,0.5364833211920707
2018-03-15,10410.900390625,10360.150390625,-0.004874698450260872,-1,-1,-1,1,10359.4677734375,-0.004940265995995408,-1,0.22311526661921252
2018-03-16,10360.150390625,10195.150390625,-0.01592640973139831,-1,-1,-1,1,10406.7021484375,0.0044933476887193775,1,0.7573047720623357
2018-03-19,10195.150390625,10094.25,-0.00989690065953156,-1,-1,-1,1,10293.3349609375,0.00963051711358629,1,0.9073482556199424
2018-03-20,10094.25,10124.349609375,0.0029818569358793373,1,-1,-1,1,10184.294921875,0.008920417254872824,1,0.8890407863236134
2018-03-21,10124.349609375,10155.25,0.003052086486265418,1,1,-1,1,10187.5234375,0.0062397912520229405,1,0.8093432287365098
2018-03-22,10155.25,10114.75,-0.003988084980675021,-1,1,-1,1,10224.677734375,0.006836634684030427,1,0.8301697987454714
2018-03-23,10114.75,9998.0498046875,-0.011537625281148817,-1,-1,-1,1,10176.1865234375,0.006073953724758397,1,0.8031254091810982
2018-03-26,9998.0498046875,10130.650390625,0.013262645068574408,1,-1,-1,1,9960.23046875,-0.0037826712885315624,-1,0.289907053009524
2018-03-27,10130.650390625,10184.150390625,0.005281003483202758,1,1,-1,1,10128.4853515625,-0.00021371175383799127,-1,0.4879078489605567
2018-03-28,10184.150390625,10113.7001953125,-0.006917631084606998,-1,1,-1,1,10224.2822265625,0.003940616978166709,1,0.7059048333417168
2018-04-02,10113.7001953125,10211.7998046875,0.009699675438319521,1,-1,-1,1,10195.80078125,0.008117759509576128,1,0.8578613024230468
2018-04-03,10211.7998046875,10245.0,0.003251160025411014,1,1,-1,1,10233.705078125,0.002145094288613538,1,0.612111429198094
2018-04-04,10245.0,10128.400390625,-0.01138112341386042,-1,1,-1,1,10270.6953125,0.0025080832113225965,1,0.6325809760864554
2018-04-05,10128.400390625,10325.150390625,0.019425574859986257,1,-1,-1,1,10185.900390625,0.005677105740529656,1,0.7726174817906024
2018-04-06,10325.150390625,10331.599609375,0.0006246125727965902,1,1,-1,1,10346.0966796875,0.002028666728333444,1,0.5991950444568948
2018-04-09,10331.599609375,10379.349609375,0.004621743176794342,1,1,-1,1,10343.275390625,0.0011301039230561427,1,0.5567584892364846
2018-04-10,10379.349609375,10402.25,0.0022063415808169277,1,1,-1,1,10381.5205078125,0.0002091555366377838,1,0.5105165187437958
2018-04-11,10402.25,10417.150390625,0.0014324199692374246,1,1,-1,1,10467.115234375,0.0062356926986949935,1,0.8016509748927376
2018-04-12,10417.150390625,10458.650390625,0.003983815001590864,1,1,-1,1,10409.3876953125,-0.0007451841455112428,-1,0.4583973347057727
2018-04-13,10458.650390625,10480.599609375,0.002098666456015682,1,1,-1,1,10432.5888671875,-0.0024918629521129432,-1,0.36460449201384765
2018-04-16,10480.599609375,10528.349609375,0.004556037037927406,1,1,-1,1,10453.1298828125,-0.0026210071547746235,-1,0.3567509461423176
2018-04-17,10528.349609375,10548.7001953125,0.001932932196645404,1,1,-1,1,10503.3505859375,-0.0023744484525133496,-1,0.355204771271945
2018-04-18,10548.7001953125,10526.2001953125,-0.002132964212026641,-1,1,-1,1,10542.0283203125,-0.0006324831378717886,-1,0.45766250441388906
2018-04-19,10526.2001953125,10565.2998046875,0.0037145036812440387,1,-1,-1,1,10521.4990234375,-0.00044661623261673414,-1,0.4703377443977625
2018-04-20,10565.2998046875,10564.0498046875,-0.00011831183431684667,-1,1,-1,1,10554.6640625,-0.001006667334019357,-1,0.4335151744414843
2018-04-23,10564.0498046875,10584.7001953125,0.0019547797489403137,1,-1,-1,1,10557.7490234375,-0.0005964361553089428,-1,0.45980298151494065
2018-04-24,10584.7001953125,10614.349609375,0.002801157662985148,1,1,-1,1,10582.861328125,-0.00017372879283953206,-1,0.48684990198160083
2018-04-25,10614.349609375,10570.5498046875,-0.0041264708907660565,-1,1,1,1,10598.7529296875,-0.0014693957012424403,-1,0.38223628952884914
2018-04-26,10570.5498046875,10617.7998046875,0.004469966167610982,1,-1,1,1,10594.294921875,0.0022463464650599586,1,0.672071422174796
2018-04-27,10617.7998046875,10692.2998046875,0.007016519558704626,1,1,1,1,10612.1875,-0.0005285751088490389,-1,0.45529675345656734
2018-04-30,10692.2998046875,10739.349609375,0.004400344691688629,1,1,1,1,10668.017578125,-0.0022710012818621754,-1,0.3120827609523182
2018-05-02,10739.349609375,10718.0498046875,-0.001983342144752059,-1,1,1,1,10705.3974609375,-0.003161471566943049,-1,0.25021917190512283
2018-05-03,10718.0498046875,10679.650390625,-0.003582686660562648,-1,-1,1,1,10689.8935546875,-0.002626993764078794,-1,0.2521198052407474
2018-05-04,10679.650390625,10618.25,-0.005749288448515091,-1,-1,1,1,10622.3193359375,-0.005368252011117083,-1,0.02819500891476799
2018-05-07,10618.25,10715.5,0.0091587596826219,1,-1,1,1,10637.6103515625,0.0018233090728227343,1,0.7399742728212287
2018-05-08,10715.5,10717.7998046875,0.00021462411343381083,1,1,1,1,10707.8486328125,-0.000714046678876394,-1,0.40837507808217854
2018-05-09,10717.7998046875,10741.7001953125,0.002229971734921472,1,1,1,1,10661.8984375,-0.005215750266491371,-1,0.06302194543269558
2018-05-10,10741.7001953125,10716.5498046875,-0.0023413789407355843,-1,1,1,1,10707.91015625,-0.003145688154399004,-1,0.16426863465435274
2018-05-11,10716.5498046875,10806.5,0.008393577872717497,1,-1,1,1,10686.9677734375,-0.002760406267795312,-1,0.19675479829015738
2018-05-14,10806.5,10806.599609375,9.217542682644704e-06,1,1,1,1,10797.7587890625,-0.0008088845544348309,-1,0.40594949823157206
2018-05-15,10806.599609375,10801.849609375,-0.000439546219134394,-1,1,1,1,10789.94140625,-0.0015414842528771572,-1,0.32439983149831536
2018-05-16,10801.849609375,10741.099609375,-0.00562403682673703,-1,-1,1,1,10826.580078125,0.0022894661233328274,1,0.7474339846938933
2018-05-17,10741.099609375,10682.7001953125,-0.005437005165795881,-1,-1,1,1,10747.2939453125,0.0005766947670882306,1,0.5644922655870869
2018-05-18,10682.7001953125,10596.400390625,-0.008078463600931889,-1,-1,1,1,10710.17578125,0.002571970141926861,1,0.7520551293017882
2018-05-21,10596.400390625,10516.7001953125,-0.007521440524559029,-1,-1,1,1,10567.921875,-0.0026875650763627168,-1,0.25628340099931635
2018-05-22,10516.7001953125,10536.7001953125,0.0019017372016475655,1,-1,1,1,10574.5166015625,0.005497580531559691,1,0.8876183150089446
2018-05-23,10536.7001953125,10430.349609375,-0.010093348388598223,-1,1,1,1,10565.50390625,0.002733655736955865,1,0.7374132669506741
2018-05-24,10430.349609375,10513.849609375,0.00800548429603439,1,-1,1,1,10477.0751953125,0.004479771789768402,1,0.8283618675188238
2018-05-25,10513.849609375,10605.150390625,0.008683858400313129,1,1,1,1,10514.443359375,5.64731304003592e-05,1,0.5047670567471165
2018-05-28,10605.150390625,10688.650390625,0.007873532851906973,1,1,1,1,10606.4580078125,0.0001233002021975982,1,0.510185947547969
2018-05-29,10688.650390625,10633.2998046875,-0.005178444790938987,-1,1,1,1,10708.330078125,0.0018411760868576098,1,0.6430851059310398
2018-05-30,10633.2998046875,10614.349609375,-0.0017821556488180786,-1,-1,1,1,10623.7294921875,-0.000900032226664116,-1,0.4295610709014439
2018-05-31,10614.349609375,10736.150390625,0.011475105468772282,1,-1,1,1,10630.3623046875,0.0015085894003676848,1,0.6173237278961081
2018-06-01,10736.150390625,10696.2001953125,-0.003721091253284346,-1,1,1,1,10681.2333984375,-0.005115147440134082,-1,0.17872644651229824
2018-06-04,10696.2001953125,10628.5,-0.006329368754912508,-1,-1,1,1,10694.44140625,-0.00016443120270605735,-1,0.48723865931485616
2018-06-05,10628.5,10593.150390625,-0.0033259264595192173,-1,-1,1,1,10641.6962890625,0.0012415946805758103,1,0.5929954512090921
2018-06-06,10593.150390625,10684.650390625,0.008637657035529113,1,-1,1,1,10597.201171875,0.0003823962750104034,1,0.5289500357962404
2018-06-07,10684.650390625,10768.349609375,0.00783359452017634,1,1,1,1,10685.626953125,9.139863863555725e-05,1,0.5066041363775629
2018-06-08,10768.349609375,10767.650390625,-6.493276828523985e-05,-1,1,1,1,10801.126953125,0.0030438595457064114,1,0.7077676362026026
2018-06-11,10767.650390625,10786.9501953125,0.0017923877528846623,1,-1,1,1,10698.27734375,-0.006442728390903235,-1,0.13327307349664202
2018-06-12,10786.9501953125,10842.849609375,0.005182133323169625,1,1,1,1,10844.07421875,0.005295660256438693,1,0.8228561082765474
